"","data_action"
"1041","User Choice/Control"
"1042","User Choice/Control"
"1043","Other"
"1044","Third Party Sharing/Collection"
"1045","Third Party Sharing/Collection"
"1046","Third Party Sharing/Collection"
"1047","Other"
"1048","Other"
"1049","Data Security"
"1050","Data Security"
"1051","First Party Collection/Use"
"1052","First Party Collection/Use"
"1053","First Party Collection/Use"
"1054","First Party Collection/Use"
"1055","First Party Collection/Use"
"1056","First Party Collection/Use"
"1057","First Party Collection/Use"
"1058","First Party Collection/Use"
"1059","First Party Collection/Use"
"1060","First Party Collection/Use"
"1061","First Party Collection/Use"
"1062","First Party Collection/Use"
"1063","First Party Collection/Use"
"1064","Third Party Sharing/Collection"
"1065","Third Party Sharing/Collection"
"1066","Third Party Sharing/Collection"
"1067","Third Party Sharing/Collection"
"1068","Third Party Sharing/Collection"
"1069","Third Party Sharing/Collection"
"1070","Third Party Sharing/Collection"
"1071","Third Party Sharing/Collection"
"1072","Third Party Sharing/Collection"
"1073","Third Party Sharing/Collection"
"1074","Third Party Sharing/Collection"
"1075","Third Party Sharing/Collection"
"1076","Third Party Sharing/Collection"
"1077","Third Party Sharing/Collection"
"1078","Policy Change"
"1079","Policy Change"
"1080","Policy Change"
"1081","Policy Change"
"1082","Policy Change"
"1083","Policy Change"
"1084","Policy Change"
"1085","First Party Collection/Use"
"1086","First Party Collection/Use"
"1087","First Party Collection/Use"
"1088","First Party Collection/Use"
"1089","First Party Collection/Use"
"1090","First Party Collection/Use"
"1091","First Party Collection/Use"
"1092","First Party Collection/Use"
"1093","First Party Collection/Use"
"1094","Other"
"1095","Other"
"1096","Third Party Sharing/Collection"
"1097","Other"
"1098","First Party Collection/Use"
"1099","First Party Collection/Use"
"1100","First Party Collection/Use"
"1101","First Party Collection/Use"
"1102","First Party Collection/Use"
"1103","First Party Collection/Use"
"1104","First Party Collection/Use"
"1105","First Party Collection/Use"
"1106","First Party Collection/Use"
"1107","User Choice/Control"
"1108","First Party Collection/Use"
"1109","First Party Collection/Use"
"1110","First Party Collection/Use"
"1111","First Party Collection/Use"
"1112","First Party Collection/Use"
"1113","First Party Collection/Use"
"1114","First Party Collection/Use"
"1115","First Party Collection/Use"
"1116","First Party Collection/Use"
"1117","First Party Collection/Use"
"1118","First Party Collection/Use"
"1119","First Party Collection/Use"
"1120","First Party Collection/Use"
"1121","First Party Collection/Use"
"1122","First Party Collection/Use"
"1123","First Party Collection/Use"
"1124","First Party Collection/Use"
"1125","First Party Collection/Use"
"1126","First Party Collection/Use"
"1127","First Party Collection/Use"
"1128","First Party Collection/Use"
"1129","First Party Collection/Use"
"1130","First Party Collection/Use"
"1131","First Party Collection/Use"
"1132","First Party Collection/Use"
"1133","First Party Collection/Use"
"1134","First Party Collection/Use"
"1135","First Party Collection/Use"
"1136","Third Party Sharing/Collection"
"1137","First Party Collection/Use"
"1138","First Party Collection/Use"
"1139","First Party Collection/Use"
"1140","First Party Collection/Use"
"1141","First Party Collection/Use"
"1142","First Party Collection/Use"
"1143","First Party Collection/Use"
"1144","First Party Collection/Use"
"1145","First Party Collection/Use"
"1146","First Party Collection/Use"
"1147","First Party Collection/Use"
"1148","Third Party Sharing/Collection"
"1149","Third Party Sharing/Collection"
"1150","Third Party Sharing/Collection"
"1151","Third Party Sharing/Collection"
"1152","Third Party Sharing/Collection"
"1153","Third Party Sharing/Collection"
"1154","Third Party Sharing/Collection"
"1155","Third Party Sharing/Collection"
"1156","Third Party Sharing/Collection"
"1157","Third Party Sharing/Collection"
"1158","Third Party Sharing/Collection"
"1159","Third Party Sharing/Collection"
"1160","Third Party Sharing/Collection"
"1161","Third Party Sharing/Collection"
"1162","Third Party Sharing/Collection"
"1163","Third Party Sharing/Collection"
"1164","Third Party Sharing/Collection"
"1165","Third Party Sharing/Collection"
"1166","Third Party Sharing/Collection"
"1167","Third Party Sharing/Collection"
"1168","Third Party Sharing/Collection"
"1169","Third Party Sharing/Collection"
"1170","Third Party Sharing/Collection"
"1171","Third Party Sharing/Collection"
"1172","Third Party Sharing/Collection"
"1173","Third Party Sharing/Collection"
"1174","Third Party Sharing/Collection"
"1175","Third Party Sharing/Collection"
"1176","Third Party Sharing/Collection"
"1177","First Party Collection/Use"
"1178","Other"
"1179","First Party Collection/Use"
"1180","First Party Collection/Use"
"1181","Other"
"1182","User Choice/Control"
"1183","User Choice/Control"
"1184","User Choice/Control"
"1185","User Choice/Control"
"1186","User Choice/Control"
"1187","User Choice/Control"
"1188","Other"
"1189","Other"
"1190","Other"
"1191","Third Party Sharing/Collection"
"1192","Other"
"1193","Data Security"
"1194","Other"
"1195","First Party Collection/Use"
"1196","Third Party Sharing/Collection"
"1197","Other"
"1198","First Party Collection/Use"
"1199","User Choice/Control"
"1200","User Choice/Control"
"1201","User Choice/Control"
"1202","User Choice/Control"
"1203","User Choice/Control"
"1204","Third Party Sharing/Collection"
"1205","First Party Collection/Use"
"1206","First Party Collection/Use"
"1207","Third Party Sharing/Collection"
"1208","Third Party Sharing/Collection"
"1209","Third Party Sharing/Collection"
"1210","First Party Collection/Use"
"1211","Other"
"1212","User Choice/Control"
"1213","International and Specific Audiences"
"1214","First Party Collection/Use"
"1215","Data Security"
"1216","Policy Change"
"1217","Policy Change"
"1218","Policy Change"
"1219","Policy Change"
"1220","User Access, Edit and Deletion"
"1221","User Access, Edit and Deletion"
"1222","User Access, Edit and Deletion"
"1223","User Access, Edit and Deletion"
"1224","User Access, Edit and Deletion"
"1225","Other"
"1226","Data Retention"
"1227","User Choice/Control"
"1228","User Access, Edit and Deletion"
"1229","User Choice/Control"
"1230","User Choice/Control"
"1231","User Access, Edit and Deletion"
"1232","International and Specific Audiences"
"1233","Third Party Sharing/Collection"
"1234","User Access, Edit and Deletion"
"1235","Do Not Track"
"1236","Do Not Track"
"1237","Other"
"1238","Other"
"1239","Other"
"1240","Other"
"1241","Other"
"1242","Policy Change"
"1243","Other"
"1244","Policy Change"
"1245","Policy Change"
"1246","International and Specific Audiences"
"1247","Other"
"1248","First Party Collection/Use"
"1249","First Party Collection/Use"
"1250","First Party Collection/Use"
"1251","First Party Collection/Use"
"1252","First Party Collection/Use"
"1253","First Party Collection/Use"
"1254","First Party Collection/Use"
"1255","First Party Collection/Use"
"1256","Data Retention"
"1257","First Party Collection/Use"
"1258","First Party Collection/Use"
"1259","First Party Collection/Use"
"1260","First Party Collection/Use"
"1261","First Party Collection/Use"
"1262","First Party Collection/Use"
"1263","First Party Collection/Use"
"1264","First Party Collection/Use"
"1265","First Party Collection/Use"
"1266","First Party Collection/Use"
"1267","First Party Collection/Use"
"1268","First Party Collection/Use"
"1269","First Party Collection/Use"
"1270","First Party Collection/Use"
"1271","First Party Collection/Use"
"1272","First Party Collection/Use"
"1273","First Party Collection/Use"
"1274","First Party Collection/Use"
"1275","First Party Collection/Use"
"1276","First Party Collection/Use"
"1277","First Party Collection/Use"
"1278","First Party Collection/Use"
"1279","First Party Collection/Use"
"1280","First Party Collection/Use"
"1281","First Party Collection/Use"
"1282","First Party Collection/Use"
"1283","First Party Collection/Use"
"1284","First Party Collection/Use"
"1285","First Party Collection/Use"
"1286","First Party Collection/Use"
"1287","First Party Collection/Use"
"1288","First Party Collection/Use"
"1289","First Party Collection/Use"
"1290","First Party Collection/Use"
"1291","First Party Collection/Use"
"1292","First Party Collection/Use"
"1293","First Party Collection/Use"
"1294","Third Party Sharing/Collection"
"1295","Third Party Sharing/Collection"
"1296","Third Party Sharing/Collection"
"1297","First Party Collection/Use"
"1298","First Party Collection/Use"
"1299","First Party Collection/Use"
"1300","First Party Collection/Use"
"1301","First Party Collection/Use"
"1302","First Party Collection/Use"
"1303","First Party Collection/Use"
"1304","First Party Collection/Use"
"1305","First Party Collection/Use"
"1306","First Party Collection/Use"
"1307","First Party Collection/Use"
"1308","First Party Collection/Use"
"1309","First Party Collection/Use"
"1310","First Party Collection/Use"
"1311","First Party Collection/Use"
"1312","First Party Collection/Use"
"1313","First Party Collection/Use"
"1314","First Party Collection/Use"
"1315","First Party Collection/Use"
"1316","First Party Collection/Use"
"1317","First Party Collection/Use"
"1318","First Party Collection/Use"
"1319","First Party Collection/Use"
"1320","First Party Collection/Use"
"1321","First Party Collection/Use"
"1322","First Party Collection/Use"
"1323","First Party Collection/Use"
"1324","First Party Collection/Use"
"1325","First Party Collection/Use"
"1326","First Party Collection/Use"
"1327","First Party Collection/Use"
"1328","First Party Collection/Use"
"1329","First Party Collection/Use"
"1330","First Party Collection/Use"
"1331","First Party Collection/Use"
"1332","First Party Collection/Use"
"1333","First Party Collection/Use"
"1334","First Party Collection/Use"
"1335","First Party Collection/Use"
"1336","First Party Collection/Use"
"1337","First Party Collection/Use"
"1338","First Party Collection/Use"
"1339","First Party Collection/Use"
"1340","User Choice/Control"
"1341","First Party Collection/Use"
"1342","User Choice/Control"
"1343","User Choice/Control"
"1344","User Choice/Control"
"1345","User Choice/Control"
"1346","User Choice/Control"
"1347","User Choice/Control"
"1348","User Choice/Control"
"1349","User Choice/Control"
"1350","Third Party Sharing/Collection"
"1351","Third Party Sharing/Collection"
"1352","Third Party Sharing/Collection"
"1353","Third Party Sharing/Collection"
"1354","Third Party Sharing/Collection"
"1355","Third Party Sharing/Collection"
"1356","Third Party Sharing/Collection"
"1357","Third Party Sharing/Collection"
"1358","Third Party Sharing/Collection"
"1359","Third Party Sharing/Collection"
"1360","Third Party Sharing/Collection"
"1361","Third Party Sharing/Collection"
"1362","Third Party Sharing/Collection"
"1363","User Choice/Control"
"1364","User Choice/Control"
"1365","User Choice/Control"
"1366","Third Party Sharing/Collection"
"1367","Third Party Sharing/Collection"
"1368","Third Party Sharing/Collection"
"1369","Third Party Sharing/Collection"
"1370","Other"
"1371","Third Party Sharing/Collection"
"1372","Third Party Sharing/Collection"
"1373","Third Party Sharing/Collection"
"1374","Third Party Sharing/Collection"
"1375","Third Party Sharing/Collection"
"1376","Third Party Sharing/Collection"
"1377","Third Party Sharing/Collection"
"1378","Third Party Sharing/Collection"
"1379","Third Party Sharing/Collection"
"1380","Third Party Sharing/Collection"
